t,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6
0.378851,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.021978022,0.007326007,-0.007326007
0.384226,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.389855,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.005860806,-0.001953602,0.001953602,-0.021978022,-0.007326007,0.007326007
0.395267,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.005860806,-0.007326007,-0.007326007,-0.007326007
0.401494,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,0.001953602,-0.007326007,-0.007326007,0.007326007
0.406750,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.005860806,-0.001953602,-0.001953602,0.007326007,-0.007326007,-0.007326007
0.412015,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.005860806,-0.007326007,0.007326007,-0.021978022
0.418105,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.005860806,-0.021978022,0.007326007,-0.007326007
0.423692,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.005860806,0.001953602,-0.021978022,-0.021978022,0.007326007
0.429194,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.005860806,-0.001953602,-0.007326007,-0.021978022,-0.007326007
0.435469,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.005860806,-0.007326007,-0.007326007,0.007326007
0.440849,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,0.001953602,-0.007326007,-0.007326007,-0.007326007
0.446306,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.007326007,0.007326007,-0.007326007
0.451741,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.001953602,-0.021978022,-0.021978022,-0.007326007
0.457262,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.005860806,-0.021978022,-0.021978022,-0.021978022
0.462526,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.005860806,-0.021978022,-0.021978022,-0.021978022
0.467978,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,-0.005860806,-0.007326007,0.007326007,-0.007326007
0.473052,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.005860806,-0.001953602,-0.005860806,0.007326007,-0.007326007,-0.007326007
0.478771,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.005860806,-0.001953602,-0.005860806,0.007326007,-0.007326007,-0.007326007
0.483958,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.005860806,-0.001953602,-0.005860806,0.007326007,-0.007326007,-0.007326007
0.489538,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,0.001953602,-0.021978022,-0.007326007,0.007326007
0.498039,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.001953602,-0.001953602,0.001953602,-0.021978022,-0.007326007,0.007326007
0.503357,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.005860806,0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.511690,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.005860806,-0.001953602,0.001953602,-0.007326007,0.007326007,-0.007326007
0.518506,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.005860806,-0.001953602,0.001953602,-0.007326007,0.007326007,-0.007326007
0.523648,-0.007820249,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.009768010,0.001953602,-0.001953602,-0.007326007,-0.007326007,0.007326007
0.529289,-0.008201724,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.009768010,0.001953602,-0.001953602,-0.007326007,-0.007326007,0.007326007
0.535222,-0.008583200,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.029304029,-0.001953602,0.001953602,-0.007326007,-0.007326007,-0.007326007
0.540269,-0.008583200,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.029304029,-0.001953602,0.001953602,-0.007326007,-0.007326007,-0.007326007
0.549827,-0.009346151,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.052747253,-0.001953602,-0.001953602,0.007326007,-0.007326007,0.007326007
0.554933,-0.009346151,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.052747253,-0.001953602,-0.001953602,0.007326007,-0.007326007,0.007326007
0.560276,-0.009346151,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.060561661,-0.001953602,-0.001953602,-0.007326007,-0.007326007,0.021978022
0.566492,-0.010490578,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.060561661,-0.001953602,-0.001953602,-0.007326007,-0.007326007,0.021978022
0.571703,-0.010490578,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.060561661,-0.001953602,-0.001953602,-0.007326007,-0.007326007,0.021978022
0.576905,-0.011253529,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.064468864,-0.001953602,-0.005860806,0.007326007,-0.007326007,0.007326007
0.582864,-0.011253529,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.064468864,-0.001953602,-0.005860806,0.007326007,-0.007326007,0.007326007
0.588056,-0.011253529,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.064468864,-0.001953602,-0.005860806,0.007326007,-0.007326007,0.007326007
0.593246,-0.011253529,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.084004884,-0.001953602,-0.001953602,-0.007326007,-0.021978022,0.007326007
0.599305,-0.013160906,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.084004884,-0.001953602,-0.001953602,-0.007326007,-0.021978022,0.007326007
0.604493,-0.013160906,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.084004884,-0.001953602,-0.001953602,-0.007326007,-0.021978022,0.007326007
0.610740,-0.015068284,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.111355311,-0.001953602,-0.001953602,0.007326007,-0.007326007,-0.007326007
0.615840,-0.015068284,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.111355311,-0.001953602,-0.001953602,0.007326007,-0.007326007,-0.007326007
0.621041,-0.015068284,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.111355311,-0.001953602,-0.001953602,0.007326007,-0.007326007,-0.007326007
0.626946,-0.017738613,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.107448107,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.632112,-0.017738613,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.107448107,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.637280,-0.017738613,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.107448107,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.642408,-0.020408942,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.142612943,0.001953602,-0.001953602,-0.007326007,-0.021978022,-0.021978022
0.648553,-0.020408942,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.142612943,0.001953602,-0.001953602,-0.007326007,-0.021978022,-0.021978022
0.653783,-0.020408942,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.142612943,0.001953602,-0.001953602,-0.007326007,-0.021978022,-0.021978022
0.659952,-0.023460746,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.162148962,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.665136,-0.023460746,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.162148962,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.670485,-0.023460746,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.162148962,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.021978022
0.676188,-0.026131075,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.166056166,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.681346,-0.026131075,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.166056166,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.686753,-0.026131075,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.166056166,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.692496,-0.030708782,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.177777778,-0.001953602,-0.001953602,-0.007326007,0.007326007,-0.007326007
0.697655,-0.030708782,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.177777778,-0.001953602,-0.001953602,-0.007326007,0.007326007,-0.007326007
0.702938,-0.033379110,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.209035409,-0.001953602,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.709129,-0.033379110,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.209035409,-0.001953602,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.714240,-0.033379110,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.209035409,-0.001953602,-0.001953602,-0.021978022,-0.007326007,-0.007326007
0.720078,-0.037575341,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.205128205,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.725242,-0.037575341,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.205128205,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.730457,-0.037575341,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.205128205,-0.001953602,-0.001953602,-0.007326007,-0.007326007,-0.007326007
0.736209,-0.041771572,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.244200244,0.001953602,-0.005860806,0.007326007,-0.007326007,0.007326007
0.741331,-0.041771572,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.244200244,0.001953602,-0.005860806,0.007326007,-0.007326007,0.007326007
0.746604,-0.046349279,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.275457875,-0.005860806,0.001953602,0.007326007,-0.021978022,0.007326007
0.753019,-0.046349279,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.275457875,-0.005860806,0.001953602,0.007326007,-0.021978022,0.007326007
0.758153,-0.046349279,0.107003891,-0.001716640,-0.008583200,-0.052834363,-0.037575341,-0.275457875,-0.005860806,0.001953602,0.007326007,-0.021978022,0.007326007
